count,genre
1,atl hip hop
1,pop house
1,escape room
1,r&b en espanol
1,big room
1,australian pop
1,boy band
2,electropop
2,country rap
2,reggaeton flow
2,brostep
2,reggaeton
2,panamanian pop
2,canadian pop
2,dfw rap
3,canadian hip hop
3,edm
5,latin
7,pop
8,dance pop
10, trap
